Timestamp	X	Y	Z
1510593971513	-1.123	-6.921	6.624
1510593971520	-1.113	-6.886	6.851
1510593971540	-1.113	-6.92	6.632
1510593971560	-1.123	-6.889	6.783
1510593971580	-1.12	-6.92	6.696
1510593971600	-1.155	-6.871	6.787
1510593971620	-1.108	-6.902	6.687
1510593971641	-1.116	-6.889	6.732
1510593971661	-1.123	-6.894	6.724
1510593971681	-1.153	-6.903	6.735
1510593971701	-1.135	-6.901	6.728
1510593971721	-1.142	-6.905	6.731
1510593971742	-1.183	-6.953	6.702
1510593971762	-1.117	-6.94	6.74
1510593971782	-1.172	-6.926	6.689
1510593971802	-1.082	-6.897	6.738
1510593971822	-1.107	-6.926	6.702
1510593971842	-1.116	-6.899	6.713
1510593971863	-1.126	-6.912	6.719
1510593971883	-1.145	-6.901	6.714
1510593971903	-1.105	-6.911	6.697
1510593971923	-1.212	-6.893	6.698
1510593971943	-1.201	-6.915	6.722
1510593971963	-1.086	-6.933	6.695
1510593971984	-1.144	-6.887	6.715
1510593972004	-1.116	-6.893	6.729
1510593972024	-1.019	-6.875	6.755
1510593972044	-1.074	-6.921	6.717
1510593972064	-1.078	-6.874	6.769
1510593972085	-1.169	-6.926	6.706
1510593972105	-1.067	-6.897	6.777
1510593972125	-1.135	-6.888	6.775
1510593972145	-1.238	-6.898	6.695
1510593972165	-1.189	-6.873	6.777
1510593972185	-1.08	-6.892	6.669
1510593972205	-1.239	-6.852	6.787
1510593972226	-1.051	-6.899	6.728
1510593972246	-1.119	-6.881	6.744
1510593972266	-1.215	-6.793	6.78
1510593972286	-1.187	-6.867	6.781
1510593972306	-1.353	-6.919	6.685
1510593972326	-1.335	-7	6.675
1510593972347	-1.212	-6.966	6.713
1510593972367	-1.156	-6.942	6.76
1510593972387	-1.168	-6.904	6.756
1510593972407	-1.241	-6.854	6.746
1510593972427	-1.219	-6.863	6.747
1510593972447	-1.121	-6.897	6.743
1510593972468	-1.17	-6.884	6.747
1510593972488	-1.267	-6.867	6.754
1510593972509	-1.257	-6.911	6.741
1510593972529	-1.261	-6.961	6.723
1510593972549	-1.283	-6.921	6.712
1510593972568	-1.226	-6.919	6.678
1510593972589	-1.105	-6.94	6.703
1510593972609	-1.066	-6.838	6.764
1510593972629	-1.018	-6.897	6.771
1510593972649	-1.09	-6.893	6.732
1510593972669	-1.209	-6.924	6.65
1510593972689	-1.374	-6.854	6.674
1510593972710	-1.138	-6.895	6.735
1510593972730	-1.095	-6.855	6.728
1510593972750	-1.166	-6.884	6.726
1510593972770	-1.14	-6.961	6.711
1510593972790	-1.218	-6.955	6.701
1510593972810	-1.248	-6.98	6.72
1510593972830	-1.261	-6.926	6.656
1510593972851	-1.151	-6.966	6.646
1510593972871	-1.204	-6.933	6.681
1510593972891	-1.162	-6.933	6.662
1510593972911	-1.239	-6.96	6.641
1510593972931	-1.154	-6.957	6.675
1510593972951	-1.15	-6.946	6.715
1510593972972	-1.195	-6.914	6.677
1510593972992	-1.091	-6.94	6.654
1510593973012	-1.186	-6.948	6.686
1510593973032	-1.103	-6.946	6.66
1510593973052	-1.226	-6.944	6.664
1510593973072	-1.202	-6.969	6.675
1510593973093	-1.135	-6.991	6.681
1510593973113	-1.125	-6.969	6.711
1510593973133	-1.144	-6.96	6.638
1510593973153	-1.197	-6.95	6.632
1510593973173	-1.141	-6.961	6.659
1510593973194	-1.169	-6.966	6.616
1510593973214	-1.157	-6.945	6.655
1510593973234	-1.184	-6.955	6.641
1510593973254	-1.103	-6.975	6.661
1510593973274	-1.164	-6.946	6.674
1510593973294	-1.189	-6.964	6.667
1510593973314	-1.187	-6.964	6.655
1510593973335	-1.213	-6.974	6.668
1510593973355	-1.181	-6.968	6.69
1510593973375	-1.189	-6.974	6.674
1510593973395	-1.177	-6.966	6.647
1510593973415	-1.149	-6.945	6.64
1510593973435	-1.172	-6.94	6.664
1510593973456	-1.132	-6.967	6.696
1510593973476	-1.153	-6.955	6.671
1510593973496	-1.175	-6.922	6.664
1510593973517	-1.165	-6.93	6.677
1510593973536	-1.16	-6.958	6.684
1510593973556	-1.171	-6.948	6.668
1510593973576	-1.174	-6.954	6.656
1510593973597	-1.208	-6.969	6.648
1510593973617	-1.176	-6.97	6.667
1510593973637	-1.139	-6.973	6.644
1510593973657	-1.147	-6.971	6.657
1510593973677	-1.195	-6.985	6.667
1510593973697	-1.263	-6.952	6.623
1510593973718	-1.218	-6.982	6.622
1510593973738	-1.178	-6.984	6.641
1510593973758	-1.141	-6.968	6.654
1510593973778	-1.11	-6.976	6.692
1510593973798	-1.148	-6.963	6.702
1510593973818	-1.214	-6.957	6.671
1510593973839	-1.227	-6.993	6.668
1510593973859	-1.163	-6.988	6.634
1510593973879	-1.17	-6.97	6.635
1510593973899	-1.129	-6.966	6.671
1510593973919	-1.136	-6.958	6.639
1510593973939	-1.131	-6.961	6.624
1510593973960	-1.144	-6.982	6.662
1510593973980	-1.175	-6.969	6.662
1510593974000	-1.182	-6.972	6.678
1510593974020	-1.234	-6.96	6.654
1510593974040	-1.168	-6.964	6.656
1510593974060	-1.12	-6.986	6.645
1510593974080	-1.199	-6.98	6.665
1510593974101	-1.148	-6.964	6.67
1510593974121	-1.159	-6.969	6.659
1510593974141	-1.169	-6.981	6.655
1510593974161	-1.191	-6.97	6.659
1510593974181	-1.158	-6.971	6.666
1510593974202	-1.152	-6.956	6.7
1510593974222	-1.17	-6.987	6.622
1510593974242	-1.175	-6.973	6.651
1510593974262	-1.183	-6.959	6.69
1510593974282	-1.176	-6.97	6.687
1510593974302	-1.19	-7.006	6.619
1510593974322	-1.169	-6.972	6.634
1510593974342	-1.171	-6.957	6.655
1510593974362	-1.16	-6.969	6.592
1510593974383	-1.192	-6.994	6.653
1510593974407	-1.185	-6.964	6.65
1510593974424	-1.221	-6.952	6.628
1510593974444	-1.196	-6.97	6.641
1510593974465	-1.192	-6.978	6.634
