Timestamp,X,Y,Z
0.036,-0.5746084,-0.4405331,9.730036
0.057,-0.593762,-0.38307226,9.787497
0.079,-0.593762,-0.38307226,9.787497
0.1,-0.63206923,-0.3256114,9.710881
0.121,-0.63206923,-0.38307226,9.787497
0.141,-0.63206923,-0.38307226,9.787497
0.162,-0.61291564,-0.40222588,9.844957
0.183,-0.61291564,-0.4596867,9.844957
0.204,-0.5746084,-0.4596867,9.844957
0.224,-0.5746084,-0.4596867,9.787497
0.246,-0.5554548,-0.42137948,9.787497
0.267,-0.5554548,-0.42137948,9.787497
0.288,-0.6512228,-0.42137948,9.921572
0.309,-0.63206923,-0.38307226,9.80665
0.33,-0.63206923,-0.38307226,9.80665
0.35,-0.593762,-0.38307226,9.787497
0.371,-0.593762,-0.42137948,9.787497
0.393,-0.593762,-0.42137948,9.787497
0.414,-0.593762,-0.42137948,9.787497
0.435,-0.63206923,-0.42137948,9.749189
0.456,-0.6512228,-0.42137948,9.730036
0.476,-0.6512228,-0.42137948,9.730036
0.497,-0.7469909,-0.4596867,9.921572
0.518,-0.7661445,-0.49799395,9.844957
0.539,-0.70868367,-0.49799395,9.80665
0.56,-0.70868367,-0.49799395,9.80665
0.583,-0.7661445,-0.4596867,9.80665
0.604,-0.70868367,-0.36391863,9.730036
0.625,-0.7661445,-0.36391863,9.749189
0.646,-0.80445176,-0.40222588,9.80665
0.667,-0.80445176,-0.40222588,9.80665
0.688,-0.7661445,-0.42137948,9.825804
0.709,-0.7661445,-0.42137948,9.825804
0.73,-0.6703764,-0.42137948,9.844957
0.75,-0.6703764,-0.42137948,9.844957
0.772,-0.6512228,-0.4405331,9.787497
0.793,-0.6512228,-0.40222588,9.864111
0.814,-0.6512228,-0.40222588,9.864111
0.834,-0.6895301,-0.2873042,9.864111
0.855,-0.72783726,-0.4405331,10.01734
0.876,-0.72783726,-0.47884032,10.01734
0.897,-0.63206923,-0.36391863,9.749189
0.917,-0.593762,-0.40222588,9.634267
0.938,-0.5746084,-0.36391863,9.80665
0.959,-0.6895301,-0.36391863,9.9790325
0.98,-0.6895301,-0.34476504,9.940725
1.001,-0.593762,-0.2873042,9.691728
1.021,-0.51714754,-0.22984335,9.634267
1.042,-0.5746084,-0.2873042,9.691728
1.063,-0.61291564,-0.36391863,9.864111
1.083,-0.63206923,-0.38307226,9.768343
1.104,-0.63206923,-0.42137948,9.730036
1.125,-0.593762,-0.42137948,9.691728
1.146,-0.6895301,-0.63206923,9.768343
1.167,-0.7852981,-0.6895301,9.634267
1.187,-0.80445176,-0.61291564,9.538499
1.208,-0.8810662,-0.3256114,9.327809
1.229,-0.9193734,-0.114921674,9.423577
1.25,-1.0151415,0.0,9.634267
1.27,-1.1300632,-0.019153614,10.151415
1.291,-1.1300632,-0.26815057,10.477026
1.312,-1.091756,-0.40222588,10.381258
1.333,-1.091756,-0.40222588,10.381258
1.354,-0.72783726,-0.22984335,9.787497
1.374,-0.63206923,-0.2873042,9.787497
1.395,-0.6512228,-0.24899697,9.80665
1.416,-0.6895301,-0.34476504,9.80665
1.436,-0.72783726,-0.34476504,9.672574
1.457,-0.7852981,-0.2873042,9.672574
1.478,-0.7852981,-0.2873042,9.672574
1.499,-0.93852705,-0.13407528,9.615113
1.519,-0.95768064,-0.114921674,9.65342
1.54,-1.0534487,-0.19153613,9.864111
1.562,-1.0534487,-0.19153613,9.864111
1.582,-1.0726023,-0.2873042,9.80665
1.603,-1.0726023,-0.26815057,9.672574
1.624,-1.0151415,-0.22984335,9.634267
1.645,-0.97683424,-0.095768064,9.634267
1.666,-0.95768064,-0.076614454,9.557652
1.687,-0.9959879,-0.057460837,9.500192
1.708,-1.1300632,-0.095768064,9.519345
1.728,-1.1683704,-0.076614454,9.519345
1.749,-1.187524,-0.13407528,9.500192
1.77,-1.1492168,-0.095768064,9.557652
1.79,-1.2258313,-0.13407528,9.615113
1.811,-1.3024457,-0.076614454,9.730036
1.832,-1.3024457,-0.076614454,9.730036
1.853,-1.283292,-0.038307227,9.940725
1.873,-1.1109096,-0.057460837,9.902418
1.894,-1.1300632,-0.076614454,9.844957
1.915,-1.1492168,0.038307227,9.998186
1.936,-1.2066776,0.19153613,10.304644
1.956,-1.283292,0.22984335,10.381258
1.977,-1.3407528,0.13407528,10.649408
1.997,-1.4748282,-0.19153613,10.668562
2.018,-1.4365209,-0.42137948,10.936713
2.039,-1.2066776,-1.283292,10.840945
2.06,-1.091756,-1.283292,10.438719
2.082,-0.93852705,-1.0726023,9.864111
2.103,-0.9002198,-0.61291564,9.500192
2.125,-0.97683424,-0.38307226,9.825804
2.146,-1.0151415,-0.5746084,9.825804
2.167,-0.95768064,-0.9002198,9.730036
2.187,-0.7661445,-1.0342951,9.80665
2.208,-0.49799395,-1.3982137,9.787497
2.229,-0.49799395,-1.3982137,9.787497
2.25,-0.21068974,-1.5131354,9.481038
2.271,-0.057460837,-1.3215992,9.136273
2.292,-0.057460837,-1.187524,9.174581
2.313,-0.15322891,-0.97683424,9.65342
2.334,-0.19153613,-0.8810662,9.883265
2.354,-0.19153613,-0.9002198,9.921572
2.375,-0.26815057,-0.84275895,9.883265
2.396,-0.3256114,-0.9193734,9.844957
2.417,-0.24899697,-0.9002198,9.615113
2.438,-0.26815057,-0.63206923,9.423577
2.459,-0.30645782,-0.36391863,9.366117
2.48,-0.38307226,-0.057460837,9.500192
2.501,-0.4596867,-0.114921674,9.59596
2.521,-0.49799395,-0.42137948,9.691728
2.542,-0.47884032,-0.47884032,9.749189
2.563,-0.2873042,-0.5746084,9.634267
2.583,-0.2873042,-0.4596867,9.65342
2.605,-0.36391863,-0.3256114,9.672574
2.625,-0.4405331,-0.057460837,9.59596
2.646,-0.593762,0.114921674,9.538499
2.667,-0.61291564,0.22984335,9.4618845
2.688,-0.51714754,0.47884032,9.366117
2.709,-0.3256114,0.6703764,9.481038
2.73,-0.24899697,0.114921674,9.749189
2.751,-0.24899697,-0.057460837,9.787497
2.772,-0.21068974,-0.2873042,9.825804
2.793,0.0,-0.4596867,9.749189
2.813,0.057460837,-0.095768064,9.500192
2.834,0.19153613,0.593762,9.883265
2.855,-0.076614454,0.6512228,10.362104
2.876,-0.7661445,-0.17238252,11.147403
2.896,-0.7661445,-0.17238252,11.147403
2.917,-0.72783726,-1.283292,10.955867
2.937,-0.26815057,-1.3599066,10.208876
2.958,-0.24899697,-1.2066776,10.170568
2.979,-0.51714754,-1.1300632,11.358092
3.0,-0.61291564,-1.7046715,11.319785
3.021,-0.5554548,-1.8195932,10.840945
3.042,-0.42137948,-1.4556745,8.829816
3.063,-0.38307226,-1.2641385,8.542511
3.083,-0.61291564,-0.97683424,8.504204
3.104,-0.7661445,-0.97683424,8.791509
